student_id,reg_no,name,dob,gender,entry_gpa,socio_econ
40,23BDS1040,Brittany Farmer,2000-05-08,F,7.18,low
41,23BDS1041,Paula Moreno,2004-04-13,F,7.66,mid
42,23BDS1042,Fred Smith,2003-06-25,M,7.15,low
43,23BDS1043,Sherry Decker,2004-07-27,M,6.9,low
44,23BDS1044,Anthony Humphrey,2000-07-25,F,6.73,high
45,23BDS1045,Angelica Tucker,2001-09-23,M,5.67,high
46,23BDS1046,Philip Cannon,2001-08-28,M,6.35,mid
47,23BDS1047,John Pierce,2002-09-22,F,6.59,low
48,23BDS1048,Shane Henderson,2002-12-26,M,7.95,mid
49,23BDS1049,Joshua Blair,2001-09-14,F,7.31,low
50,23BDS1050,Eric Carney,2006-07-06,F,5.41,high
51,23BDS1051,Jessica Holmes,2004-07-06,O,7.29,mid
52,23BDS1052,Danny Morgan,2008-09-15,F,6.65,low
53,23BDS1053,Crystal Robinson,2007-02-25,M,6.39,high
54,23BDS1054,Mark Perez,2008-07-26,O,7.55,low
55,23BDS1055,Shannon Jones,1999-10-25,F,7.93,mid
56,23BDS1056,Michael Lewis,2005-10-04,O,7.84,high
57,23BDS1057,Timothy Duncan,2003-10-01,M,6.24,low
58,23BDS1058,Richard Aguirre,2007-11-17,F,6.72,low
59,23BDS1059,Brent Jordan,2005-04-05,M,7.3,mid
60,23BDS1060,John Daniel,2005-04-30,O,7.88,mid
61,23BDS1061,Victoria Garcia,2008-05-14,F,6.57,mid
62,23BDS1062,Gerald Hensley,2005-11-18,O,6.83,high
63,23BDS1063,Connor West,2002-08-17,O,6.0,high
64,23BDS1064,Donald Wright,2007-12-25,F,5.92,mid
65,23BDS1065,Jessica Callahan,2008-03-30,O,7.73,high
66,23BDS1066,Amber Kidd,2003-03-18,M,8.22,low
67,23BDS1067,Tracy House,2004-08-07,O,6.94,mid
68,23BDS1068,Carol Tucker,2002-04-13,M,7.9,high
69,23BDS1069,James Brown,2007-12-10,M,7.33,high
70,23BDS1070,William Baker,2007-02-20,O,6.42,mid
71,23BDS1071,Jordan Henderson,2003-02-10,M,7.33,mid
72,23BDS1072,Whitney Peters,2006-12-18,F,8.38,high
73,23BDS1073,Brittney Phillips,2003-09-30,M,6.97,high
74,23BDS1074,Lauren Daniels,2000-02-18,M,8.41,mid
75,23BDS1075,Amy Silva,2007-10-28,M,4.64,high
76,23BDS1076,Sarah Moore,2001-06-20,F,7.74,low
77,23BDS1077,Angela Lopez,2004-05-12,F,7.08,high
78,23BDS1078,Megan Young,2008-04-09,F,6.73,low
79,23BDS1079,Steve Sanchez,2001-03-30,O,7.08,low
80,23BDS1080,Lisa Barnes,2008-05-06,F,5.21,high
81,23BDS1081,Kelly Donovan,2004-07-30,M,6.8,high
82,23BDS1082,Mike Allen,1999-10-21,F,7.32,mid
83,23BDS1083,Michael Evans,2000-04-29,F,8.33,low
84,23BDS1084,Paul Jones,2005-10-09,M,6.53,high
85,23BDS1085,Zachary Ferrell,2006-09-13,O,6.27,low
86,23BDS1086,Daniel Baker,2007-07-10,F,6.55,mid
87,23BDS1087,Shirley Suarez,2003-07-22,O,7.82,low
88,23BDS1088,Christopher Bass,2000-09-02,O,7.3,high
89,23BDS1089,Lisa Archer,2004-07-30,O,6.52,high
90,23BDS1090,Aimee Montoya,2006-01-23,M,7.46,low
91,23BDS1091,Matthew Mcmillan,2008-07-10,O,7.09,mid
92,23BDS1092,Brian Rodriguez,2006-09-18,O,7.87,low
93,23BDS1093,Denise Jacobs,2005-07-22,M,6.37,high
94,23BDS1094,Christina Walters,2008-03-12,O,6.71,mid
95,23BDS1095,John Whitehead,2006-06-17,O,6.65,low
96,23BDS1096,Anna Henderson,2001-02-13,M,5.68,low
97,23BDS1097,Aaron Wise,2003-11-14,M,7.27,mid
98,23BDS1098,Deborah Figueroa,2002-09-21,F,7.23,low
99,23BDS1099,Jessica Smith,2000-07-10,F,7.0,mid
100,23BDS1100,Stephen Mckee,2000-03-23,F,6.79,mid
101,23BDS1101,Sandra Aguilar,2006-11-20,O,5.73,mid
102,23BDS1102,Cameron Parker,2004-10-04,O,6.62,mid
103,23BDS1103,Rebecca Valencia,2004-11-29,O,6.69,low
104,23BDS1104,Christine Wright,2001-10-14,M,6.28,low
105,23BDS1105,Richard Henson,2002-01-24,O,6.85,high
106,23BDS1106,Marc Moore,2003-03-25,F,7.36,mid
107,23BDS1107,Sharon Cherry,2005-05-30,M,8.7,high
108,23BDS1108,Sierra Johnson,2003-08-20,M,7.16,high
109,23BDS1109,Evelyn Galvan,1999-11-21,M,7.23,low
110,23BDS1110,Sharon Cochran,2005-10-18,F,6.93,low
111,23BDS1111,Richard Rodriguez,2004-07-20,F,5.27,low
112,23BDS1112,Shannon Walker,2005-07-05,F,6.98,low
113,23BDS1113,Julia Torres,2005-04-21,M,7.05,high
114,23BDS1114,Crystal Johnson,2006-07-17,M,9.22,mid
115,23BDS1115,Garrett Lin,2005-01-03,O,6.83,high
116,23BDS1116,Diana May,2006-01-17,O,7.27,high
117,23BDS1117,William Herrera,2000-05-22,F,6.97,low
118,23BDS1118,Ashley Waller,2008-02-03,M,5.95,mid
119,23BDS1119,Victor Baker,2000-09-09,O,8.03,high
120,23BDS1120,Jeffrey Chandler,2006-10-27,F,7.68,low
121,23BDS1121,Larry Dixon,2002-06-13,F,7.71,low
122,23BDS1122,Kenneth Scott,2000-07-07,O,6.18,mid
123,23BDS1123,April Frost,2006-08-17,F,8.26,high
124,23BDS1124,Michelle Harmon,2003-09-05,M,5.74,mid
125,23BDS1125,Helen Jones,2003-04-18,F,7.53,mid
126,23BDS1126,Erin Edwards,2005-09-07,M,8.97,mid
127,23BDS1127,Michelle Evans,2004-01-02,M,6.11,high
128,23BDS1128,Jason Powell,2004-07-16,O,6.49,low
129,23BDS1129,Cameron Fisher,2000-12-18,O,7.09,mid
130,23BDS1130,Megan Orr,2003-04-04,O,6.55,mid
131,23BDS1131,Elizabeth Kelley,2006-12-01,F,5.6,high
132,23BDS1132,Dustin Jordan,2004-08-25,O,7.06,high
133,23BDS1133,Mary Marshall,2008-05-18,O,6.04,low
134,23BDS1134,Daniel Kennedy,2001-01-12,F,7.43,low
135,23BDS1135,Rebecca Jackson,2005-10-31,O,6.17,mid
136,23BDS1136,Jose Schultz,2007-12-19,F,8.39,mid
137,23BDS1137,Robert Potter,2006-11-23,F,6.3,high
138,23BDS1138,Courtney Gonzalez,2006-04-21,M,6.71,mid
139,23BDS1139,David Alvarez,2003-02-04,M,7.73,high
140,23BDS1140,Angel Perry,2008-04-13,O,5.89,mid
141,23BDS1141,Cheyenne Horton,2004-09-19,F,7.2,high
142,23BDS1142,David Douglas Jr.,2004-09-25,M,8.18,mid
143,23BDS1143,Patricia Rodriguez,2000-11-05,M,5.55,mid
144,23BDS1144,Christopher Rubio,1999-10-13,M,7.17,mid
145,23BDS1145,Amber Wright,2005-02-08,M,7.23,low
146,23BDS1146,Joyce Solis,2004-07-28,O,7.7,mid
147,23BDS1147,Victoria Larson,2008-04-05,M,5.89,mid
148,23BDS1148,Stephanie Salazar,2002-06-24,O,5.81,low
149,23BDS1149,Kathy Rivas,2006-06-22,F,7.47,low
150,23BDS1150,Stephanie Manning,2007-11-14,O,7.27,mid
151,23BDS1151,David Wright,2002-10-31,M,7.23,high
152,23BDS1152,Pamela Boyd,2003-06-14,F,7.31,mid
153,23BDS1153,Denise Jones,2005-07-20,F,6.39,high
154,23BDS1154,Devon Flores,2004-05-08,O,7.21,mid
155,23BDS1155,Brenda Hall,2001-03-09,F,7.26,high
156,23BDS1156,Michelle Brown,2001-09-21,O,6.36,mid
157,23BDS1157,Joshua Perry,2007-04-02,F,8.68,low
158,23BDS1158,Jason Stein,2001-06-26,O,7.43,high
159,23BDS1159,Melissa Gates,2001-05-15,M,5.93,mid
160,23BDS1160,Jamie Smith,2006-12-08,O,7.59,mid
161,23BDS1161,Paul Castaneda,2007-05-30,O,6.12,low
162,23BDS1162,Jennifer Adkins,2007-05-27,M,7.71,high
163,23BDS1163,Lindsey Walker,2008-02-17,O,8.04,high
164,23BDS1164,Jeffrey Johnson,2008-09-08,O,6.26,high
165,23BDS1165,Michael Powell,2003-11-21,F,7.87,low
166,23BDS1166,John Anderson,2004-09-07,O,7.37,high
167,23BDS1167,Alyssa Long,2002-05-09,F,7.74,high
168,23BDS1168,Alyssa Day,2000-05-05,M,8.71,mid
169,23BDS1169,Joel Williams,2000-08-14,F,6.78,mid
170,23BDS1170,Daniel Murphy,2006-04-08,F,6.32,low
171,23BDS1171,Jamie Walton,2004-02-14,M,6.2,high
172,23BDS1172,Darlene Miller,2002-09-18,F,6.27,mid
173,23BDS1173,Joshua Cooke,2000-11-21,M,6.93,low
174,23BDS1174,Matthew Harrington,2005-08-21,O,7.31,high
175,23BDS1175,Nicole Herring,2000-08-20,O,7.25,low
176,23BDS1176,Alex Hernandez,2005-04-24,F,7.74,high
177,23BDS1177,Michael Elliott,2007-11-03,O,7.01,mid
178,23BDS1178,Michael Wang,2002-08-06,M,8.31,high
179,23BDS1179,Lawrence Adkins,2003-10-17,O,6.76,high
180,23BDS1180,Robert Oconnell,2005-04-14,M,9.45,high
181,23BDS1181,Alexander Collins,2002-06-28,O,7.56,high
182,23BDS1182,Tina Sanders,2004-12-29,F,6.23,low
183,23BDS1183,Angela Vaughn,2004-10-29,O,6.04,high
184,23BDS1184,Ashley Barton,2003-01-07,O,7.43,low
185,23BDS1185,Lindsay Martinez,2002-08-02,O,6.8,high
186,23BDS1186,Dr. Hannah Patterson,2003-08-05,M,7.64,high
187,23BDS1187,Jonathan Peterson,1999-10-12,M,7.43,low
188,23BDS1188,Samantha Garcia,2001-12-14,F,6.93,mid
189,23BDS1189,Madison Poole,2001-09-24,M,6.24,mid
190,23BDS1190,Jessica Gross,2006-05-25,O,5.64,low
191,23BDS1191,Debra Morton,2003-08-30,O,6.6,high
192,23BDS1192,Karen Graham,2007-04-20,M,7.77,mid
193,23BDS1193,Debra Christian,2000-12-11,O,7.19,high
194,23BDS1194,Angelica Keith,2006-05-03,F,5.88,low
195,23BDS1195,John Bishop,2007-08-22,F,7.16,low
196,23BDS1196,Allen Rosales,2003-11-26,M,7.35,mid
197,23BDS1197,Daniel Salinas,2002-12-19,M,6.2,mid
198,23BDS1198,Spencer Haynes,2002-06-27,F,7.14,high
199,23BDS1199,Adam Vaughan,2004-09-13,F,7.05,mid
200,23BDS1200,Nathan Freeman,2001-04-26,M,5.97,low
201,23BDS1201,Melissa Brewer,2005-03-13,M,7.32,low
202,23BDS1202,Ricky Davis II,2007-04-25,M,7.5,low
203,23BDS1203,Elizabeth Perkins,2007-06-20,O,7.97,high
204,23BDS1204,Joseph Coleman,2000-12-30,M,7.95,mid
205,23BDS1205,Erin Warner,2004-08-01,M,5.76,high
206,23BDS1206,David Martinez,2002-02-08,O,6.16,high
207,23BDS1207,Bryan Herrera,2007-09-19,F,7.46,mid
208,23BDS1208,Cathy Robinson,2000-06-04,M,7.46,low
209,23BDS1209,Dr. William Warren,2000-05-31,O,7.46,mid
210,23BDS1210,Brian Lee,1999-11-27,M,9.5,mid
211,23BDS1211,Christopher Smith,2004-04-20,M,7.51,mid
212,23BDS1212,Denise Mccann,2000-01-07,O,8.02,high
213,23BDS1213,Melissa Martinez,2004-12-22,F,7.86,mid
214,23BDS1214,Katherine Salas,2003-05-21,O,7.59,low
215,23BDS1215,Julie Alexander,2005-01-18,M,6.72,mid
216,23BDS1216,Anthony Everett,2007-11-23,F,7.68,low
217,23BDS1217,Rodney Morales,2004-09-13,O,6.3,low
218,23BDS1218,Mark Brown,2004-08-17,O,6.79,low
219,23BDS1219,Justin Torres,2008-09-22,F,6.56,high
220,23BDS1220,Bailey Duran DDS,2003-12-27,M,7.07,high
221,23BDS1221,Courtney Mills,2006-09-18,O,9.08,high
222,23BDS1222,Jeremy Dalton,2003-01-11,O,5.32,mid
223,23BDS1223,Elizabeth Oliver DDS,2001-09-30,O,7.62,high
224,23BDS1224,Theresa Clark,2006-09-08,M,5.55,mid
225,23BDS1225,Matthew Moore,2006-05-03,O,6.58,low
226,23BDS1226,Benjamin Smith,2002-05-10,F,7.98,mid
227,23BDS1227,Kirk Carter,2003-12-02,F,7.06,low
228,23BDS1228,Michael Warner,2004-05-01,O,6.03,mid
229,23BDS1229,Michael Bradshaw,2003-04-23,O,6.36,high
230,23BDS1230,Lori Guerrero,2004-04-04,F,7.61,low
231,23BDS1231,Jessica Stephens,2005-09-13,F,6.34,mid
232,23BDS1232,Susan Serrano,2007-05-16,O,7.19,mid
233,23BDS1233,Christopher Parker,2006-12-30,F,7.04,high
234,23BDS1234,Laura Roberts,2005-04-06,M,6.41,high
235,23BDS1235,Michael Lyons,2001-03-25,M,8.93,high
236,23BDS1236,Kathryn Snyder,2004-05-13,M,7.57,mid
237,23BDS1237,Andrew Reynolds,2003-10-03,M,5.18,high
238,23BDS1238,David Davis,2001-05-08,F,7.17,mid
239,23BDS1239,Sara Johnston,2008-04-11,M,6.4,high
240,23BDS1240,Yvonne Chambers,2005-09-03,O,7.77,mid
241,23BDS1241,Andrew Avila,2008-06-12,O,6.29,low
242,23BDS1242,Matthew Moon,2006-05-12,M,6.9,high
243,23BDS1243,Kevin Walters,2004-02-02,O,7.45,low
244,23BDS1244,Brandon Bailey MD,2002-12-19,M,7.78,mid
245,23BDS1245,Shannon Rivera,2001-09-15,M,5.92,low
246,23BDS1246,Donna Landry,2004-02-16,M,6.7,high
247,23BDS1247,Krista Gibson,2000-04-20,O,6.57,high
248,23BDS1248,Frank Cordova,2003-01-23,O,6.41,mid
249,23BDS1249,Jose Travis,2000-02-14,M,8.59,high
250,23BDS1250,Kimberly Gutierrez,2001-08-06,M,7.36,low
251,23BDS1251,Isaiah Avila,2007-11-28,M,5.87,high
252,23BDS1252,Olivia Harris,2002-12-27,M,7.83,low
253,23BDS1253,Tanya Kim,2003-12-19,F,8.91,high
254,23BDS1254,Barbara Dudley,2003-10-30,M,7.93,mid
255,23BDS1255,Cynthia Moore,2000-02-26,O,5.63,high
256,23BDS1256,Kristen Davis,2008-07-25,M,6.56,mid
257,23BDS1257,Susan Murray MD,2002-08-27,F,8.14,high
258,23BDS1258,Kathleen Moran,2006-01-26,O,6.36,mid
259,23BDS1259,Denise Davenport,2004-06-06,F,7.4,low
260,23BDS1260,Mrs. Kristen Reyes,2007-03-16,M,7.7,low
261,23BDS1261,Katie Suarez,2007-04-03,O,6.17,low
262,23BDS1262,Desiree Tyler,2002-02-08,M,6.95,low
263,23BDS1263,Timothy Romero,2004-08-20,O,4.08,mid
264,23BDS1264,Diane Evans,2001-04-20,O,6.08,mid
265,23BDS1265,Yvonne Burns,2005-08-15,O,6.77,low
266,23BDS1266,Joshua Reed,2003-01-10,F,5.88,low
267,23BDS1267,Kimberly Gibson,2005-08-14,M,8.47,low
268,23BDS1268,Colin Terry,2007-04-05,F,5.71,high
269,23BDS1269,Cynthia Rowe,2004-05-21,F,6.6,low
270,23BDS1270,Patrick Thornton,2003-02-15,M,7.12,mid
271,23BDS1271,Jasmin Alvarado,2007-11-27,M,8.3,mid
272,23BDS1272,Veronica Simpson,2004-05-20,M,5.71,mid
273,23BDS1273,Jonathan Lawrence,2002-11-30,O,8.05,high
274,23BDS1274,Shelly Alexander,2007-07-20,F,7.01,high
275,23BDS1275,Joyce Bowen,2004-02-13,F,6.12,high
276,23BDS1276,Matthew Moore,2004-01-29,F,7.42,high
277,23BDS1277,Wayne Morgan,2005-03-05,F,7.18,mid
278,23BDS1278,Marie Christian,2004-04-03,F,6.46,high
279,23BDS1279,Shannon James,2000-12-26,O,7.06,high
280,23BDS1280,Nathan Malone,2001-03-24,M,6.65,high
281,23BDS1281,Amanda Jones,2000-06-06,O,7.1,low
282,23BDS1282,Tammie Bright,2005-07-12,O,7.6,mid
283,23BDS1283,Jessica Garcia,2001-08-22,O,8.43,high
284,23BDS1284,Shelia Wallace,2001-06-02,M,5.89,low
285,23BDS1285,Stephanie Williams,2002-12-30,M,8.92,mid
286,23BDS1286,Elaine Brooks,2006-03-12,F,5.24,high
287,23BDS1287,Joseph Knight,2000-10-20,O,6.86,mid
288,23BDS1288,Carolyn Miller,2001-10-23,F,7.53,mid
289,23BDS1289,Lisa Allen,2007-01-15,M,7.25,low
290,23BDS1290,Briana Murray,2006-03-22,M,6.44,high
291,23BDS1291,David Smith,2004-01-27,M,6.81,mid
292,23BDS1292,Stephanie Byrd,2004-01-18,M,6.56,low
293,23BDS1293,Jeremy Reed,2001-08-19,O,6.47,mid
294,23BDS1294,Margaret Coleman,2001-03-10,F,7.76,mid
295,23BDS1295,Ryan Gonzalez,2007-03-29,M,7.32,low
296,23BDS1296,John Young,1999-12-09,F,6.38,mid
297,23BDS1297,Laura Haney,2000-02-15,M,7.81,low
298,23BDS1298,William Barrett,2004-11-24,F,7.28,high
299,23BDS1299,Keith Jennings,2001-03-09,F,7.73,mid
300,23BDS1300,Amber Obrien,2005-05-27,M,7.57,high
301,23BDS1301,Tanner Mitchell DDS,2000-02-02,M,6.25,high
302,23BDS1302,Heather Fields,2004-11-20,F,6.5,mid
303,23BDS1303,Megan Le,2000-03-28,O,7.67,low
304,23BDS1304,Sara Fuller,2002-01-23,M,7.55,mid
305,23BDS1305,Maria Parker,2001-05-10,M,6.98,mid
306,23BDS1306,Kevin Oconnor,2008-05-12,O,7.11,low
307,23BDS1307,Edward Burgess,2005-02-17,O,8.15,low
308,23BDS1308,Carlos Ryan,2004-10-23,M,6.47,mid
309,23BDS1309,Kiara Mcintyre,1999-11-27,M,7.49,low
310,23BDS1310,Dawn Summers,2006-03-19,M,6.82,high
311,23BDS1311,Dr. Paul Morgan,2005-09-10,M,6.8,low
312,23BDS1312,Victor Taylor,2002-04-15,F,7.99,high
313,23BDS1313,Shannon Ramsey,2000-07-04,F,7.74,high
314,23BDS1314,Tracy Ballard,2003-10-12,F,7.73,high
315,23BDS1315,Richard Smith,2008-09-03,M,8.17,low
316,23BDS1316,Jordan Chambers,2007-07-18,F,7.02,low
317,23BDS1317,Lauren Carson,2001-04-09,M,7.61,mid
318,23BDS1318,Ashley Hall,2007-03-19,M,6.72,low
319,23BDS1319,Stephen Hoffman,2005-02-22,F,7.29,low
320,23BDS1320,Connie Brown,2006-11-21,M,6.88,high
321,23BDS1321,Susan Turner,2007-02-14,F,7.09,low
322,23BDS1322,Charles Shah,2001-05-17,F,7.54,low
323,23BDS1323,Johnathan Davis,2005-09-03,F,6.26,high
324,23BDS1324,Brandy Chavez,2002-02-12,F,8.88,low
325,23BDS1325,Natalie Bautista,2006-04-04,F,6.09,high
326,23BDS1326,Patrick Moore,2002-10-27,O,5.91,low
327,23BDS1327,Brett Burns,2003-10-27,O,8.04,low
328,23BDS1328,Trevor Johnson,2005-01-19,O,7.71,mid
329,23BDS1329,Jeremy Sampson,2001-10-21,O,7.56,low
330,23BDS1330,Ariana Jennings,2003-03-17,O,7.57,high
331,23BDS1331,Vanessa Howard,2000-09-17,F,6.99,low
332,23BDS1332,Colton Martinez,2001-07-23,M,6.19,mid
333,23BDS1333,Jordan Bates,2007-06-23,M,7.07,low
334,23BDS1334,Linda Smith,2004-04-11,F,6.39,low
335,23BDS1335,Dana Martinez,2003-07-08,M,7.88,high
336,23BDS1336,Andrea Hubbard,2001-01-30,M,6.87,mid
337,23BDS1337,Daniel Kane,2000-08-08,O,6.26,low
338,23BDS1338,Charles Lester,2004-01-08,O,6.71,low
339,23BDS1339,Scott Thomas,2005-04-09,O,7.37,high
340,23BDS1340,David Thompson,2000-02-02,M,6.49,low
341,23BDS1341,Allison Smith,2006-10-17,O,6.26,low
342,23BDS1342,Cynthia Morris,2004-04-07,F,7.22,low
343,23BDS1343,Anthony Harmon,2000-10-17,M,7.22,mid
344,23BDS1344,Nichole Alvarez,2004-01-29,M,6.54,low
345,23BDS1345,Kayla Rodriguez,2000-11-28,O,6.58,high
346,23BDS1346,Theresa Williams,2005-03-03,F,7.21,mid
347,23BDS1347,Sharon Boyd,2007-03-09,O,5.7,low
348,23BDS1348,Victor Brown,2007-10-24,O,5.73,low
349,23BDS1349,James Parks,2006-09-17,M,6.35,mid
350,23BDS1350,Theodore Jones Jr.,2005-07-31,M,6.81,low
351,23BDS1351,Ana Hill,2004-06-08,O,7.28,low
352,23BDS1352,Kimberly Nguyen,2003-01-26,M,8.33,high
353,23BDS1353,Kerry Chavez DDS,2000-02-16,M,7.77,mid
354,23BDS1354,Michael Farrell,2004-07-04,M,6.86,high
355,23BDS1355,Patricia Le,2001-10-20,O,6.98,low
356,23BDS1356,Jesse Perez,2006-12-16,M,6.1,high
357,23BDS1357,Jesse Perry,2006-11-05,O,6.98,low
358,23BDS1358,Jeffery Ortega,2003-03-03,M,6.74,mid
359,23BDS1359,Christian Leblanc,2005-01-14,F,7.29,mid
360,23BDS1360,Ronald Davis,2006-05-30,M,6.26,mid
361,23BDS1361,Parker Cain,2006-08-04,O,7.47,high
362,23BDS1362,Laurie Hoffman,2006-01-03,M,8.38,high
363,23BDS1363,Bryan Gomez,2000-08-13,O,6.9,low
364,23BDS1364,Nicole Parrish,2000-12-10,O,7.36,mid
365,23BDS1365,Tracy Burke,2004-01-12,M,7.62,high
366,23BDS1366,Kenneth Lewis,2001-10-30,O,6.64,low
367,23BDS1367,Courtney Rodriguez,2007-06-21,M,7.2,high
368,23BDS1368,Holly Farmer,2002-04-15,F,7.01,low
369,23BDS1369,Renee Bruce,2007-08-18,O,7.09,high
370,23BDS1370,Sabrina Austin,2003-06-01,O,6.3,high
371,23BDS1371,Allison Hickman,2001-06-09,O,7.02,high
372,23BDS1372,Debra White,2006-02-13,O,7.45,mid
373,23BDS1373,Ellen Morgan,2006-11-04,F,8.31,mid
374,23BDS1374,Sergio Knight,2004-12-09,F,7.86,high
375,23BDS1375,Charles Schultz,2000-10-18,M,8.94,low
376,23BDS1376,Paul Lewis,1999-10-20,O,6.31,low
377,23BDS1377,Glen Wood,2005-08-18,O,7.79,mid
378,23BDS1378,Paula Bradley,2005-12-05,F,7.17,mid
379,23BDS1379,Anthony Moore,2002-07-31,M,8.97,mid
380,23BDS1380,Megan Nelson,2002-12-31,F,6.27,high
381,23BDS1381,Karla Ramos,2001-02-16,F,6.24,low
382,23BDS1382,Paul Wilson,2005-08-08,M,6.46,mid
383,23BDS1383,Douglas Gregory,2002-01-07,O,5.09,high
384,23BDS1384,Mr. Andrew Foster,2007-06-08,O,6.53,mid
385,23BDS1385,Aimee Turner,2003-07-20,F,6.32,low
386,23BDS1386,Chad Scott,2003-01-11,F,7.14,low
387,23BDS1387,Adam Burgess,2002-03-21,F,7.31,mid
388,23BDS1388,James Padilla,2005-11-11,M,8.69,high
389,23BDS1389,Sandra Drake,2006-07-14,M,7.86,low
390,23BDS1390,Scott Williams,2003-06-16,F,6.48,low
391,23BDS1391,Thomas Atkins,2006-10-17,O,6.19,low
392,23BDS1392,Laura Mckinney,2004-01-30,O,7.44,mid
393,23BDS1393,Brian Smith,2003-01-26,M,5.81,high
394,23BDS1394,Robert Montgomery,2004-09-24,M,8.65,high
395,23BDS1395,Tamara Davis,2002-01-08,O,8.06,high
396,23BDS1396,Dana Chapman,2002-07-01,M,6.58,high
397,23BDS1397,Jennifer Collins,2002-11-02,O,5.46,high
398,23BDS1398,Gary Jackson,2006-02-01,F,8.22,mid
399,23BDS1399,Ashley Hicks,2006-05-12,M,6.9,mid
400,23BDS1400,Hannah Luna,2007-06-08,F,8.11,high
401,23BDS1401,Robin Young,2005-09-02,M,5.57,high
402,23BDS1402,Craig Morrison,2006-06-20,M,6.46,mid
403,23BDS1403,Mary Thompson,2003-10-04,F,7.0,mid
404,23BDS1404,Kathleen Webster,2006-01-12,F,7.04,high
405,23BDS1405,Joann Glass,2001-03-11,M,6.59,high
406,23BDS1406,Madison Weber,2001-09-01,F,7.56,mid
407,23BDS1407,Lori Hernandez,2003-05-06,O,6.04,low
408,23BDS1408,Jeremy Turner,2002-10-13,O,6.87,high
409,23BDS1409,Anthony Romero,2004-09-10,F,7.11,low
410,23BDS1410,Jesse Brown,2006-01-04,O,7.46,high
411,23BDS1411,Angela Lin,2006-02-05,O,7.64,high
412,23BDS1412,Lisa Hunter,2001-03-08,O,5.99,high
413,23BDS1413,Julian Conner,2008-06-02,M,5.62,high
414,23BDS1414,Joanna Pacheco,1999-10-14,O,8.15,low
415,23BDS1415,Erica Alvarez,2000-07-22,O,7.3,mid
416,23BDS1416,Antonio Garcia,2001-01-16,F,6.33,mid
417,23BDS1417,Gwendolyn Klein,2008-01-27,O,8.4,low
418,23BDS1418,Carrie Wright,2003-08-28,M,7.1,mid
419,23BDS1419,Jeffrey Mills,2000-04-24,M,8.06,mid
420,23BDS1420,Jake Campbell,2001-09-25,F,7.06,mid
421,23BDS1421,George Harper,2000-06-16,M,8.85,mid
422,23BDS1422,Maria Jones,2000-01-29,M,8.58,mid
423,23BDS1423,Michael Mitchell,2003-03-13,O,6.78,high
424,23BDS1424,Mary Escobar,2008-08-06,O,7.87,low
425,23BDS1425,Felicia Aguilar,2005-04-06,M,7.58,mid
